1	1	15	20	0	0	1	7.5	5	89	1000	45
2	1	15	20	0	0	1	7.5	5	92	1000	45
3	1	14	76	76	1	0	28.5	19	15	86	920
4	1	14	76	72	1	0	28.5	19	15.5	86	920
5	2	15	20	0	0	1	7.5	5	88	700	50
6	2	15	20	0	0	1	7.5	5	95	700	50
7	2	14	76	57	1	0	28.5	19	18.1	500	950
8	2	14	76	57	1	0	28.5	19	18.3	500	920
9	7	30	100	75	1	0	37.5	25	40	900	4200
10	7	30	100	75	1	0	37.5	25	44	700	4400
11	7	30	100	46	1	0	37.5	25	48	800	4200
12	13	70	180	129	1	0	67.5	45	44	1600	5500
13	13	70	180	0	0	0	67.5	45	49.5	1655	5500
14	13	50	200	60	1	0	67.5	45	46	1633	6810
15	14	5	30	0	0	1	11.25	7.5	115	20	20
16	15	2	12	0	0	1	4.5	3	55	69	550
17	15	2	12	0	0	1	4.5	3	55	69	550
18	15	3	12	0	0	1	4.5	3	55	69	550
19	15	3	12	0	0	1	4.5	3	55	69	550
20	15	3	12	0	0	1	4.5	3	55	69	550
21	15	55	150	150	1	0	58.125	38.75	15	235	1500
22	16	55	150	120	1	0	58.125	38.75	15	235	1500
23	18	100	375	375	1	0	150	100	6	68	2200
24	21	100	375	375	1	0	150	100	6	68	2200
25	22	2	40	2	1	1	18.75	12.5	69	10	10
26	22	2	40	2	1	1	18.75	12.5	69	10	10
27	22	2	40	2	1	1	18.75	12.5	69	10	10
28	22	2	40	2	1	1	18.75	12.5	69	10	10
29	22	2	40	2	1	1	18.75	12.5	69	10	10
30	22	2	40	2	1	1	18.75	12.5	69	10	10
31	23	50	145	100	1	0	58.125	38.75	16	235	1050
32	23	50	145	106	1	0	58.125	38.75	16	235	1050
33	23	165	400	315	1	0	90	60	17	1020	2200
